અકળ	ઓળખી ન શકાય એવા
રાગ સોતું	આસક્તિ સહિત
રાફડા	ઉધઈ જમીનમાંથી માટી બહાર કાઢીને જમીન ઊપર મોટો ઢગલો કરે તેને રાફડો કહેવાય 
રાફી	એક પ્રકારનો રોગ
રામ કટાકટ મવડું ભાંગ્યું	ગાંડપણનો શબ્દ
રાંક	ગરીબ
રિસામણિ	એક છોડનું નામ
રીઝ્યું	પ્રસન્ન થવું
રુચિ	ગમતું
રૂખડિયા	સામાન્ય, દેખાવમાં ન ગમે એવા
રેચક ક્રિયા	યૌગીક ક્રિયા
રેંટના ફાળકા	કુવામાંથી પાણી કાઢવા માટેનું યંત્ર
રૌરવ	નરકનો કુંડ
 લક્ષ 	નિશાન, ભક્ત માટે ભગવાનને રાજી કરવાનું નિશાન હોય
લઘુશંકા	પેશાબ
લજામણું	શરમ લગાડે તેવું, બીજાને શરમમાં નાખે તેવું
 લટક 	માન્યતા
લટકું	ચેષ્ટા, હાવભાવ, નખરું
લઢે	ઘસવું
લપટાણા	જે તે પદાર્થમાં આસક્ત થવું
લબળ સબળ	ચોક્કસ કામ ન કરનાર
લબાડ	આળસુ, ખોટું બોલવાની ટેવવાળા
 લય 	લીન, નાશ
લલેડા	એ નામનું પક્ષી છે
લલોપચો	બીજાની ભૂલને છાવરવી
લવાહા	શ્વાસ, પ્રયત્ન
લંબકર્ણ	ગધેડો
લંબૂરિયા	માલ વિનાના
કદળીયું	સ્ત્રીઓ
 લાદ 	ગધેડાની વિષ્ટા
લાવણતા	સુંદરતા
લાવણ્યતા	સુંદરતા
લાવા જાખરા 	અનેક પ્રયત્ન
 લીન 	રસબસ
લીલાગર ભાંગ્ય	એક જાતનું કેફી પીણું
લીહો	સુવાળો, લીસો
લીંબતરુ	લીમડાનું વૃક્ષ
લુબ્ધ	આસક્ત
 લેન 	રીત, રસ્તો, સમજણની રાહ
 લેપ 	કલંક, ડાઘ, પાશ
લોકાંતર	પરલોક
લોચો	વાસના, આસક્તિ
લોટિયા	લોટ પીને રહેનાર
લોદરિયા	ગાજરની જાતી
લોભાણું	લલચાવું
લોમવૃત્તિ	વિષય સન્મુખવૃત્તિ
વજ્ર	લોખંડ 
વજ્રલેપ	સખત, કઠણ, લોઢા જેવું
વજ્રસાર	અતિશય ગાઢ, લોખંડ જેવી મજબુર, તોડી ન શકાય એવી
વટપત્રશાયી	વડના પાંદડામા સુતેલા બાલમુકુંદ ભગવાન
વડકા	નાની વાતમાં કજીયો કરે તેવું
વઢકણી વહુ	કંકાસ કરવાવાળી વહુ
વઢવેડ	ઝઘડો
વઢવેળ	ઝઘડો
વઢે	ખીજાય, તરછોડે, તિરસ્કાર કરે
વણ સાધુનો વરતારો	વણ સાધુ એટલે સાધુતા વગરના; વરતારો એટલે વર્તન
વપુ	શરીર
વયા	પક્ષીનું નામ છે
 વરત 	દોરડું
વરોળ ભેંસને વરત ભર્યા જેવું	ગર્ભ ધારણ ન કરે એવી ભેંસના ચારા માટે લેવાતું મહેનતાણું
વલણ 	રીત 
વસ્તુતા	ખરેખર, વાસ્તવિક 
વળગણી	કપડા સુકવવાની દોરીએ
વળોટીને	ઓળંગીને
વાછરું	ગાયનું બચ્ચું
વાણોતરની હૂંડી	નોકર, મહેતાજી, નામું લખનાર
વાત ખજીને પડે	વાતની અસર થવી
વઘરે	અનિશ્ચિતતા, નિર્ણય ન થાય અને કામ ઠેલાતું જાય
વાયરો	પવન, હવા
વાલપ	વ્હાલ, હેત, પ્રેમ
વાલપના વેણ	અંતરમાંથી નીકળતા હિતના વચન
વાવટા	ધજા 
વાવટો	ધજા
વાવરી	બતાવી, દેખાડી, જણાવી
વાસીંદુ	ઢોરવાડિયું સાફ કરવું
વાંકું	ખરાબ, ઘસાતું
વાંઝણી વિયાજણ	જેને કોઈ સંતાન ન હોય એ વાંઝણી, તેને સંતાનના જન્મ વખતે જે દુઃખ થાય એ  વિંયાજણનું દુઃખ કહેવાય 
વાંસળી	સોનામહોર કે રૂપિયા ભરીને કમરે બાંધવાની કાપડની મજબુત કોથળી
વાંહલો 	સુથારી કામ નું સાધન 
વિક્તિ	ભેદ
વિક્ષેપ	અડચણ, નડતર, મુંજવણ
વિચક્ષણ	ચતુર, તેજસ્વી બુદ્ધિવાળો
વિજ્ઞાન	પ્રત્યક્ષ ભગવાનને વિષે નિષ્ઠા
વિજ્ઞાનમયબ્રહ્મ	પાંચ સગુણ બ્રહ્મમાનો એક બ્રહ્મ, જીવ
વિતરાગ	વૈરાગ્ય
વિતરાગી	વૈરાગી
વિદેહી	દેહની ભાવનાથી રહિત, અહં-મમત્વથી રહિતપણામા ગણાય
વિધિ નિષેધ 	કરવા યોગ્ય અને ન કરવા યોગ્ય
વિધિનિષેધ	કરવા યોગ્ય અને ન કરવા યોગ્ય
વિભૂતિ	શક્તિ, ઐશ્વર્ય
વિભ્રાંત	સંશય થવો, દ્વિધા થવી
વિભ્રાંતિ	સંશય થવો, દ્વિધા થવી
વિમુઢપણું	મોહ પામેલું, ભ્રમિત થયેલું
વિયાજણ	સંતાનના જન્મ વખતે જે દુઃખ થાય એ વિંયાજણનું દુઃખ કહેવાય 
વિયાય	જન્મ આપવો
વિરક્ત	આસક્તિ રહિત, વૈરાગ્ય
વિરૂપ	કદરૂપ, બિહામણું 
વિલક્ષપણું	જુદાપણું
વિલાય	પરદેશ, વિદેશ
વિલોક્યાં	નિહાળ્યા
વિવર	મુર્છાવસ્થામા
વિવા વાજન	લગ્ન પ્રસંગ
વિશનોરી	સ્ત્રી, જેને વીશ નખ છે તેવું પશું 
વિશિષ્ટાદ્વૈત	જીવ અને માયાના નિયંતા ઈશ્વર
વિશ્વકળા	પોતાની મોટાઈ છુપાવવી કે બીજાની મોટાઈ દેખાડવી, આવડત, યુક્તિ
વિશ્વાભિમાની	સત્ત્વગુણ પ્રધાનપણે વર્તે ત્યારે જીવનુ નામ
વિસ્મૃતિરૂપ સુષુપ્તિ	સ્મરણના અભાવરૂપ અવસ્થા
વિહનોરી	સ્ત્રી, જેને વીશ નખ છે તેવું પશું 
વીસ વસાની વાત 	સો એ સો ટકા, સંપૂર્ણ, સમજ્યા જેવી, વર્તનમાં મુક્યા જેવી
વીસનોરી	સ્ત્રી, જેને વીશ નખ છે તેવું પશું 
વીંગડે વીંગડે	મોચીનું એક હથિયાર
વેધિયો	ઓળખ્યો
વેધીયો	ઓળખવું
વેંડી	પરાભવ
વૈરાટ્‌	વિશાળ
વ્યતિરેક	જુદુ
વ્યાપકપણું	અંતર્યામીપણું, બધે છવાયેલું
વ્યાપ્ય	જેમા પ્રવેશ કરવાનો છે એ, ભગવાન જેમા પ્રવેશ કરે તે.
વ્યાલ	સર્પ
શઠ	છેતરપિંડી કરનાર
શબ્દ છળ	એક જ શબ્દના જુદાજુદા અર્થ હોય તેવા શબ્દો
શરણાગતવત્સલ	પોતાની શરણે આવેલાને પાળનાર
શાયદી	સાક્ષી
શાલેડું	એક પ્રકારનું પાંદડા વગરનું વૃક્ષ
શાસ્તા	નિયંતા
શિકોતર	દેવીનું નામ, માતાજીનું નામ
શિથિલપણું	ઢીલાંપણું
શિશુમાર ચક્ર	છ ચક્રોમાનું એક, યોગીઓએ વર્ણવેલ એક પ્રકારનું સ્થાન 
શુદ્ધ સત્ત્વાત્મક	જેમાં રજોગુણ અને તમોગુણનો ભાવ નહિ હોય એવું
શુદ્ધ સંપ્રદાય	એકાંતિકનો સમાગમ
શુષ્કજ્ઞાની	અદ્વૈતમત પ્રમાણે ભગવાનને નિરાકાર સમજનારો
શૂન્ય સમતા	બંધન રહિત, સુખ-દુઃખ રહિત
શેલણ	ચોખા, ગોળ અને ઘીથી બનતું ભોજન
શોણામાંય	સ્વપ્નમાં પણ
ષટ્‌ઉર્મિ	છ પ્રકારની ઊર્મિ (ભૂખ-તરસ, હર્ષ-શોક અને જન્મ-મરણ)
ષડૂર્મિએ	છ પ્રકારની ઊર્મિ (ભૂખ-તરસ, હર્ષ-શોક અને જન્મ-મરણ)
ષડ્‌ ઉર્મિ	છ પ્રકારની ઊર્મિ (ભૂખ-તરસ, હર્ષ-શોક અને જન્મ-મરણ)
ષ્‌ટકર્મ	છ કર્મ (અધ્યયન, અધ્યાપન, યજન, યાજન, દાન અને પ્રતીગ્રહ)
સગુણ બ્રહ્મ	પ્રધાન પુરુષ
સજાતિયપણું	એક જ સરખા સ્વભાવ વાળા
સડકું	રોડ, માર્ગ
સત્તારૂપ	ઇન્દ્રિયો-અંતઃકરણથી પર વર્તવું
સત્ત્વગુણ	માયાના ત્રણ ગુણમાનો સારો ગુણ, જેમાં સારા વિચારો આવે તે ગુણ
સદને	મહેલ, ગૃહ, ભુવન
સનકાદિક	ઋષિનું નામ
સનાતન	ત્રણે કાળમાં સત્ય
સફડફિયા	બકવાસ કરનાર, જેમ તેમ બોલનારા
સફલો	નબળો
સબડકા	સુખનો ઘુટડો
સમતા	સમાનતા
સમભાવ	સરખાપણાનો ભાવ
સમર્થ થકા ઝરણા	શક્તિ હોવા છતાં સહન કરવું
સમા વિના અર્થ સરે નહીં	સમય આવ્યા વિના સાધના સફળ ન થાય
સમાસ	પ્રગતિ, વૃદ્ધિ
સમો	સમય
સમોવડિયાં	પ્રતિસ્પર્ધી, હરીફ, બરોબરીયું
સમ્યક્	સંપૂર્ણ
સર્ગ	ત્રણ ગુણ જે સત્ત્વ, રજ અને તમાદિકનો ભાવ
સર્વજ્ઞ	સર્વેને તેના પ્રકાર્રે સહિત જાણનાર
સર્વાંગી સમાધિ	એકસાથે સંપૂર્ણ મૂર્તિ દેખાય તે સમાધિ
સલીલ	મહારાજના લીલા ચરિત્ર સહિત
સવામણ	૧ મણ એટલે ૨૦ કિગ્રા. સવા મણ એટલે ૨૫ કિગ્રા
સવિકલ્પ	સંકલ્પ, સંશય વાળો
સહસ્ત્રભુજ	હજાર હાથવાળો
સળતાળાના રાંક	સળતાળાના ગરીબ માણસો, ૪૭ ની સાલના ગરીબ
સંકરપણું	ગૌણપણું
સંચિત	ભેગા થયેલા
સંશય	શંકા
સંશયગ્રંથિ	શંકાની ગાંઠ
સંસૃતિ	જન્મ-મરણ
સાકારપણાની નિષ્ઠા	ભગવાન પ્રત્યક્ષ જ છે એવો નિશ્ચય
સાકારબ્રહ્મ	સાક્ષાત ભગવાન
સાક્ષાત્કાર	પ્રત્યક્ષ અનુભવ થવો તે
સાગમટે નોતરું	સહકુટુંબ આમંત્રણ
સાત સાંબેલિયો	સાત પ્રકારનું કામ કરી શકે એવું
સાત્ત્વિક	સત્ત્વગુણી
સાદૃશ્યપણું	સરખાપણું, સમાનતા
સાધનનો આંબડો	શુભગુણોનું અભિમાન
સાધર્મ્યપણાને	એના સરખી સ્થિતિ થવી તે
સાફડિયો	કોઈ ઠેકાણ વિનાનો
સામાવડિયા	વિરોધી
સામાવડીયા	વિરોધી
સામ્ય	સરખાપણું, એકતા
સાયદી	સાક્ષી
નમાલાં	નબળા
સાંખ્ય શાસ્ત્ર	કપિલાચાર્ય કૃત ગ્રંથ
સાંગડી	જમીનમાંથી પાણી કાઢવા હાથથી દર કરવાનું સાધન
સાંતી	હળ
સિદ્ધદશા	જે ધારે તે કરી શકે એવી દશા
સીમાડો	હદ, અવધિ, અંત
સુકાન	જેને મરડવાથી વહાણ કે હોડી દિશા બદલે છે તે
સુકૃત	સારા કર્મો
સુખલેશ	નહિવત
સુગાળવાં	અપ્રિય વસ્તુ જોતા જ જેને કંટાળો આવે
સુતર	સરળ, અનુકૂળ
સુરપુર	સ્વર્ગલોક
સુવાણ્ય	પાટો ગોઠી જવો, ગમી જવું
સુષુમ્ણાનાડી	શરીરમાં મુખ્ય ત્રણ નાડીમાંથી મુખ્ય નાડી, જેમાં ભગવાન વિષ્ણુનો વાસ હોય છે
સૂક્ષ્મ દૃષ્ટિ 	અંતર્દૃષ્ટિ
સૂક્ષ્મવૃત્તિ	જીણી દ્રષ્ટી, જીણી બુદ્ધિ
સૃજતા	રચના
સેર્ય	ધારા
સેંજા	ઓળખાણ
સો દાણ	સો વખત
મોટલિયા	મજુર
સોજાળા	ખોટા વખાણે એવા, ગમતા
સોજાળી વાણી	ખોટા વખાણ કરે એવી વાણી
સોડ્ય	પથારી, પગથી માથા સુધી ઓઢવાનું કપડું
સોડ્યમાં	
સોણામાંય	સ્વપ્નમાં
સોરાય	કરમાવું, બંધાવું
સોળેય સરાવેલ	બધી રીતે પૂરો, બધી જ કળા આવડે
સોંઘા	સહેલાઇથી મળે એવા
સોંઢવા	આમંત્રણ આપવું, નોતરવા
સોંપો	ભગવાન સંબંધી ક્રિયા, રાત જ ન પડવી
સોંસરો	આરપાર
સૌમ્ય	સુંદર
સ્તબ્ધપણું	થંભી ગયેલું, બીજાને મોટા જાણવા છતાં ન નમી શકે તે
સ્થિતપ્રજ્ઞ	જેની બુદ્ધિ સ્થિર છે તે
સ્થિતિ	સ્થિરતા
સ્થૂળ દૃષ્ટિ	બાહ્ય દ્રષ્ટી
સ્વપ્ન	જીવની ત્રણ અવસ્થામાની એક અવસ્થા
સ્વરૂપનિષ્ઠા	માયાના સર્ગરૂપી કપટને ટાળનારામાં હેત
સ્વસ્તિ	કલ્યાણ, સુખ, ક્ષેમ
હડકારીને	તીરસ્કાર કરીને
હડખેડમાં ઢેફા	હળ ચલાવતી વખતે જમીનમાંથી નીકળતી કાળી માટી
હડસેલા	ધક્કા ખાવા
હફડફિયો	ઠેકાણા વિનાનો
હમેલિયો	પટ્ટાવાળો, સિપાઈ, સંદેશો લઈ જનાર
હરાયાં ઢોર	માલિકી વિનાના પશુ
હસોડી મૂર્તિ	આખી મૂર્તિ
હળફામાં	ખાનું
હાકલ	પડકારો, બુમ મારવી
હાડા	શુરવીર
હાણ્ય-વૃદ્ધિ	ગેરલાભ-લાભ
હારો હાર	સાથોસાથ
હાસલ	લાભ, મેળવવું
હાંડલું	માટીનું વાસણ
હિરણ્યગર્ભ	વૈરાજપુરુષનું બીજું નામ, ઉત્પતિ અવસ્થાના અધિષ્ઠાતા
હીણા	નબળા
હીરની ગાંઠ્ય	રેશમના દોરાની ગાંઠ
હીંહોરો	ઉમંગ, ઉમળકો, આનંદ
હૃદયાકાશ	હૃદયમાં રહેલું અવકાશ
હૃદા	હૃદય
