અકળ	ઓળખી ન શકાય એવા
ઈદમ્‌	સાક્ષાત/સંભાર્યા વિના
ઈન્દ્રિયારામ	ઈન્દ્રિયોના સુખમાં રમનાર
ઈશ્વર સંજ્ઞા	જીવ કરતા વિશેષ જ્ઞાન ધરાવતા, બ્રહ્માદિક ઈશ્વર તત્ત્વો
ઉકરડે	ગંદવાડ ભેગો કરવાની જગ્યા, નબળા માણસનો સંગ
ઉગમણા	પૂર્વ
ઉચાળો	ઘરનો સામાન
ઉછરંગ	ઉત્સાહ, આનંદ
ઉટાંટિયું	ઊંટાટીયા નામનો રોગ
ઉડુગણ	તારાનો સમૂહ
ઉડુરાજ	ચંદ્ર
ઉત્પત્તિ	શરૂઆત, ઉત્પન્ન થવું
ઉત્પત્તિ ને લય	ઉત્પન્ન થવું અને નાશ થવું
ઉત્પત્તિકાળ	સંસાર કે સૃષ્ટિની રચનાનો સમય, માયામાં આસક્તિ
ઉત્પત્તિકાળથી બા’રું	સૃષ્ટિકાળથી અલગ
ઉથડકે	કલ્યાણના માર્ગ થકી પાછા પડવું
ઉદધિ	સમુદ્ર
ઉદધી	સમુદ્ર
ઉદર-ઝોળી	અન્ન રાખવા ઉદર છે એ જોળી છે.
ઉદ્ભિજ્જ	જમીનમાંથી ઉત્પન્ન થતા જીવ
ઉન્મત્તતા	ઘેલછા, ગાંડપણ
ઉપજ	આવક
ઉપણવા	અનાજમાંથી કચરો કાઢવા માટે ઉંચેથી અનાજને જમીન તરફ નાખવું
ઉપશમ	ભૂલી જવું
ઉપહાસ	તિરસ્કાર
ઉમરાવ	અમીર, આબરૂદાર, મોટા માણસ
ઉમળકો	અંતરનો આનંદ
ઉર મેં બેઠી અજા, કરત ઉદ્વેગ અનેકા	હૃદયમાં રહેલી માયા ઘણા પ્રકારના ઉદ્વેગ-અશાંતિ ઉત્પન્ન કરે છે.
ઉરસે	અંતરમાંથી
ઉરૂકાળે	લાંબા સમયે
 ઉલટ 	અદલ-બદલ, ઉલટાવવું
ઉલાળિયો	બગાડ, વેડફી નાખવું
ઉસડવું	ભેગું કરવા, સાફ કરવા
ઉહડવા	ભેગું કરવા, સાફ કરવા
ઊમરા	વૃક્ષનું નામ
ઊરુકાળે 	લાંબા સમયે 
ઊર્ધ્વગતિ	ચડતી, પ્રગતિ
ઊર્ધ્વરેતા	અખંડ બ્રહ્મચર્ય
ઊંધે માથે ઝૂલવું ન પડે	ગર્ભવાસ ભોગવવો ન પડે
એક કળાવચ્છિન્ન	એક સાથે, એક જ સમયે
એક દેશસ્થ	એક સ્થાનમાં રહેનાર
એક નિમિષ	આંખનો પલકારો, આંખનું મટકું મારે એટલો સમય
ફેરણું	જુગારમાં દા પડવાથી બીજાએ જ માંડેલા પૈસા લઇ લેવા તે
એકકળાવચ્છિન્ન	એક સાથે, એક જ સમયે
એકડમલ	કોઈ સાથે ભળતો ન હોય ને એકલો ફરતો હોય
એકદેશસ્થ	એક સ્થાનમાં રહેનાર
એકદેશસ્થપણું	એક સ્થાનમાં રહેનાર
એકદેશી	એક સ્થાનમાં રહેનાર
એકધારા	એકનિષ્ઠા
વાઢતા	નિંદા કરવી
એકલમડ	કોઈ સાથે ભળતો ન હોય ને એકલો ફરતો હોય
એકલમલ	કોઈ સાથે ભળતો ન હોય ને એકલો ફરતો ન હોય
એકાત્મપણે	એકતા
એકાંતિકનાં ખરડા	એકાંતિક સત્પુરુષના લેખો
એઠવાડિયાના હાંડલા	એઠવાડ નાખવાનું માટલું
એંધાણ	નિશાન
